dataset,method,family,view,quantity,ablation,halflife,halflife_int,status,ci_lo,ci_hi,horizon_E,base_value,base_ci_lo,floor,halflife_expfit,r2
cub200,m2_target,F1,full,leak_auc,last_round,6.0,,censored,,,6,0.6964476464360841,0.6866903592187806,0.5,,
cub200,m2_target,F1,full,leak_auc,trajectory,6.0,,censored,,,6,0.6964476464360841,0.6866903592187806,0.5,,
cub200,m2_target,F1,full,leak_tpr1,last_round,6.0,,censored,,,6,0.07564161021365294,0.06899506971009269,0.01,,
cub200,m2_target,F1,full,leak_tpr1,trajectory,6.0,,censored,,,6,0.07564161021365294,0.06899506971009269,0.01,,
cub200,m3_fot,F1,full,acc,n/a,6.0,,censored,,,6,0.6302049491753738,0.5360703460443332,per-task a0(t)=1/classes_seen,,
cub200,m3_fot,F1,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.680472826328614,0.6649295228680601,0.5,,
cub200,m3_fot,F1,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.680472826328614,0.6649295228680601,0.5,,
cub200,m3_fot,F1,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.06224797975675455,0.05238707617749178,0.01,,
cub200,m3_fot,F1,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.06224797975675455,0.05238707617749178,0.01,,
cub200,m4_proto,F2,aggregate,acc,n/a,6.0,,censored,,,6,0.9160126232157777,0.9073345234393241,per-task a0(t)=1/classes_seen,,
cub200,m4_proto,F2,aggregate,leak_auc,last_round,6.0,,censored,,,6,0.9889042539208681,0.986447708660362,0.5,,
cub200,m4_proto,F2,aggregate,leak_auc,trajectory,6.0,,censored,,,6,0.9889042539208681,0.986447708660362,0.5,,
cub200,m4_proto,F2,aggregate,leak_tpr1,last_round,6.0,,censored,,,6,0.832434802377318,0.8077790707525885,0.01,,
cub200,m4_proto,F2,aggregate,leak_tpr1,trajectory,6.0,,censored,,,6,0.832434802377318,0.8077790707525885,0.01,,
cub200,m4_proto,F2,full,acc,n/a,6.0,,censored,,,6,0.9160126232157777,0.9073345234393241,per-task a0(t)=1/classes_seen,,
cub200,m4_proto,F2,full,leak_auc,last_round,6.0,,censored,,,6,0.9995468107509874,0.9993251650138342,0.5,,
cub200,m4_proto,F2,full,leak_auc,trajectory,6.0,,censored,,,6,0.9995468107509874,0.9993251650138342,0.5,,
cub200,m4_proto,F2,full,leak_tpr1,last_round,6.0,,censored,,,6,0.9958678431584835,0.9931401330822065,0.01,,
cub200,m4_proto,F2,full,leak_tpr1,trajectory,6.0,,censored,,,6,0.9958678431584835,0.9931401330822065,0.01,,
cub200,m4_proto,F2,global,acc,n/a,6.0,,censored,,,6,0.9160126232157777,0.9073345234393241,per-task a0(t)=1/classes_seen,,
cub200,m4_proto,F2,global,leak_auc,last_round,6.0,,censored,,,6,0.9889042539208681,0.986447708660362,0.5,,
