dataset,unit,eps,gamma,delta,fpr,tpr_empirical,tpr_dp_bound,n_shadows,n_pos,n_neg
cifar100,U1,1.0,1.0,1e-05,0.0026738416158399465,0.002513395031660984,0.007278255076515297,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.002800503894183631,0.00270823185582075,0.007622558846088156,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0029331662783900424,0.0028446176327325866,0.007983172594396496,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.003072112998861759,0.002981003409644423,0.008360868939778741,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0032176417502507355,0.003136872868972236,0.00875645710019773,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.003370064329271928,0.0031563565513882124,0.009170784626997901,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00352970730273065,0.003175840233804189,0.009604739220791915,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0036969127071950283,0.0033122260107160254,0.01005925063336758,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.003872038781812557,0.003526546517291768,0.01053529265968977,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.004055460735840828,0.0036044812469556748,0.01103388522426527,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0042475715525368985,0.0037798343886994643,0.011556096566340626,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.004448782831127585,0.003955187530443254,0.012103045528614699,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.004659525668664682,0.004188991719434973,0.012675903954369686,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.004880251583654433,0.004578665367754506,0.013275899198156324,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.005111433483440166,0.004754018509498296,0.013904316755412519,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0053535666774107244,0.004890404286410132,0.014562503016649438,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.005607169938205458,0.005260594252313688,0.015251868152105724,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.005872786613189483,0.00553336580613736,0.01597388913305051,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.006150985788580504,0.006039941548952752,0.016730112896208214,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00644236350872137,0.006293229420360448,0.017522159658084954,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.006747544053110693,0.006410131514856308,0.01835172638629769,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0070671812739274914,0.006663419386264004,0.019220590435343146,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.007401959996915644,0.006955674622503653,0.020130613354596566,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.007752597488629464,0.007423283000487092,0.0210837448766987,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.008119844993184008,0.007676570871894788,0.02208202709487625,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.008504489341802677,0.008027277155382368,0.02312759883814584,1024,51325,51175
