dataset,method,unit,eps,gamma,n_clients,seed,p,lambda,clip_C,final_avg_acc,bwt,avg_incremental_acc
cifar100,m9_contractive,U1,2,0.7,10,0,64,100.0,46.28673336744744,0.314,-0.6764444444444444,0.584405634920635
cifar100,m9_contractive,U1,2,0.7,10,1,64,100.0,46.28673336744744,0.2933,-0.6985555555555556,0.5677130952380953
cifar100,m9_contractive,U1,2,0.7,10,2,64,100.0,46.28673336744744,0.2972,-0.698111111111111,0.5495018253968256
cifar100,m9_contractive,U1,4,1.0,10,0,128,100.0,43.14116679260853,0.8105,-0.06911111111111114,0.8654304365079364
cifar100,m9_contractive,U1,4,1.0,10,1,128,100.0,43.14116679260853,0.8100999999999999,-0.061111111111111116,0.8702151587301588
cifar100,m9_contractive,U1,4,1.0,10,2,128,100.0,43.14116679260853,0.8109,-0.08100000000000002,0.8602922222222222
cifar100,m9_contractive,U1,4,0.9,10,0,128,100.0,43.14116679260853,0.7156999999999999,-0.2283333333333333,0.8355078571428571
cifar100,m9_contractive,U1,4,0.9,10,1,128,100.0,43.14116679260853,0.7099,-0.2287777777777778,0.8360151984126982
cifar100,m9_contractive,U1,4,0.9,10,2,128,100.0,43.14116679260853,0.7127999999999999,-0.23244444444444445,0.8270215079365079
cifar100,m9_contractive,U1,4,0.7,10,0,128,100.0,43.14116679260853,0.39339999999999997,-0.6135555555555556,0.6579953174603175
cifar100,m9_contractive,U1,4,0.7,10,1,128,100.0,43.14116679260853,0.3532,-0.6574444444444444,0.6444661111111111
cifar100,m9_contractive,U1,4,0.7,10,2,128,100.0,43.14116679260853,0.3656,-0.6436666666666666,0.6263322222222222
cifar100,m9_contractive,U1,8,1.0,10,0,128,100.0,43.14116679260853,0.8177,-0.06566666666666669,0.870554007936508
cifar100,m9_contractive,U1,8,1.0,10,1,128,100.0,43.14116679260853,0.8191,-0.05666666666666668,0.8745006746031747
cifar100,m9_contractive,U1,8,1.0,10,2,128,100.0,43.14116679260853,0.8170999999999999,-0.07800000000000001,0.8662639285714286
cifar100,m9_contractive,U1,8,0.9,10,0,128,100.0,43.14116679260853,0.72,-0.22722222222222221,0.8382353571428572
cifar100,m9_contractive,U1,8,0.9,10,1,128,100.0,43.14116679260853,0.7144,-0.22722222222222227,0.8391448412698412
