dataset,backbone,n_per_class,ref_quality,class,trial,anisotropy_ratio,mean_cos,median_cos,frac_above_0.8,n_records,ref_pool_size
cifar100,vit_base_patch16_224.augreg_in21k,8,clean_full,37,2,86.3956279333485,0.45474083847042646,0.3613106227569134,0.25,8,100
cifar100,vit_base_patch16_224.augreg_in21k,8,clean_full,91,3,86.3956279333485,0.5604773234009917,0.5759958507285079,0.125,8,100
cifar100,vit_base_patch16_224.augreg_in21k,8,clean_full,8,4,86.3956279333485,0.38657150574076293,0.4226212754869533,0.0,8,100
cifar100,vit_base_patch16_224.augreg_in21k,8,clean_small_pool,88,0,86.3956279333485,0.5932815109964011,0.6485006557578776,0.125,8,20
cifar100,vit_base_patch16_224.augreg_in21k,8,clean_small_pool,5,1,86.3956279333485,0.571232124059986,0.6010683701768111,0.25,8,20
cifar100,vit_base_patch16_224.augreg_in21k,8,clean_small_pool,9,2,86.3956279333485,0.47810122997854876,0.5913748047507476,0.0,8,20
cifar100,vit_base_patch16_224.augreg_in21k,8,clean_small_pool,22,3,86.3956279333485,0.3925356919481012,0.3801415475911252,0.0,8,20
cifar100,vit_base_patch16_224.augreg_in21k,8,clean_small_pool,20,4,86.3956279333485,0.42347191116171545,0.3861590605166216,0.125,8,20
cifar100,vit_base_patch16_224.augreg_in21k,8,noisy_full,4,0,86.3956279333485,0.5290857550747076,0.49866287555748223,0.0,8,100
cifar100,vit_base_patch16_224.augreg_in21k,8,noisy_full,38,1,86.3956279333485,0.609734971337188,0.6391271865793529,0.125,8,100
cifar100,vit_base_patch16_224.augreg_in21k,8,noisy_full,8,2,86.3956279333485,0.4589042786188914,0.4572101645120733,0.125,8,100
cifar100,vit_base_patch16_224.augreg_in21k,8,noisy_full,1,3,86.3956279333485,0.49039571589174114,0.517655305689684,0.0,8,100
cifar100,vit_base_patch16_224.augreg_in21k,8,noisy_full,92,4,86.3956279333485,0.6307507107831778,0.6296899709160826,0.125,8,100
cifar100,vit_base_patch16_224.augreg_in21k,16,clean_full,60,0,86.3956279333485,0.472341487972028,0.4813241161670958,0.0,16,100
cifar100,vit_base_patch16_224.augreg_in21k,16,clean_full,41,1,86.3956279333485,0.46349234973477055,0.37236576962344725,0.125,16,100
cifar100,vit_base_patch16_224.augreg_in21k,16,clean_full,67,2,86.3956279333485,0.43763599535644476,0.41700964279671104,0.0625,16,100
cifar100,vit_base_patch16_224.augreg_in21k,16,clean_full,68,3,86.3956279333485,0.5136440121868077,0.5134841693868478,0.0625,16,100
cifar100,vit_base_patch16_224.augreg_in21k,16,clean_full,65,4,86.3956279333485,0.34741155618683933,0.3388868605720028,0.0625,16,100
cifar100,vit_base_patch16_224.augreg_in21k,16,clean_small_pool,2,0,86.3956279333485,0.4092014351413833,0.3898337097685769,0.0,16,20
cifar100,vit_base_patch16_224.augreg_in21k,16,clean_small_pool,59,1,86.3956279333485,0.46278020682123633,0.45100412196844675,0.0625,16,20
cifar100,vit_base_patch16_224.augreg_in21k,16,clean_small_pool,0,2,86.3956279333485,0.6563768917723005,0.6927629019549562,0.25,16,20
cifar100,vit_base_patch16_224.augreg_in21k,16,clean_small_pool,10,3,86.3956279333485,0.32492925413773555,0.27455951154899755,0.0,16,20
cifar100,vit_base_patch16_224.augreg_in21k,16,clean_small_pool,64,4,86.3956279333485,0.520027794635439,0.5207205188765105,0.125,16,20
cifar100,vit_base_patch16_224.augreg_in21k,16,noisy_full,90,0,86.3956279333485,0.48347655553776947,0.48717893203081597,0.0,16,100
cifar100,vit_base_patch16_224.augreg_in21k,16,noisy_full,7,1,86.3956279333485,0.47701578064821554,0.44639491618284743,0.0625,16,100
cifar100,vit_base_patch16_224.augreg_in21k,16,noisy_full,92,2,86.3956279333485,0.5427894289857806,0.5288890800890516,0.0625,16,100
cifar100,vit_base_patch16_224.augreg_in21k,16,noisy_full,67,3,86.3956279333485,0.5586187416929382,0.6124228235723504,0.0625,16,100
cifar100,vit_base_patch16_224.augreg_in21k,16,noisy_full,53,4,86.3956279333485,0.5812794317347455,0.5817010688278057,0.0625,16,100
cifar100,vit_base_patch16_224.augreg_in21k,32,clean_full,83,0,86.3956279333485,0.5125474211924979,0.4951887475809942,0.0625,32,100
cifar100,vit_base_patch16_224.augreg_in21k,32,clean_full,83,1,86.3956279333485,0.5874099264506246,0.61971233695639,0.0,32,100
cifar100,vit_base_patch16_224.augreg_in21k,32,clean_full,53,2,86.3956279333485,0.5478664286628944,0.5408956288937198,0.0,32,100
cifar100,vit_base_patch16_224.augreg_in21k,32,clean_full,47,3,86.3956279333485,0.4449602965595954,0.4304358654643096,0.0,32,100
cifar100,vit_base_patch16_224.augreg_in21k,32,clean_full,75,4,86.3956279333485,0.6162556535016938,0.6342167435315635,0.0625,32,100
