method,dataset,n_tasks_requested,n_tasks_actual,seed,final_avg_acc,bwt,avg_incremental_acc,n_ledger_records
M2,cub200,10,10,1,0.7133083725684299,0.35483921345591674,0.7945230619752924,200
M2,cub200,10,10,2,0.7073070753176374,0.3565452908947786,0.7964400890974246,200
M2,imagenet_r,10,10,0,0.5343755166147625,0.12473333640858339,0.6338277076772666,200
M2,imagenet_r,10,10,1,0.5368529369384252,0.1170200583086411,0.6396311306881415,200
M2,imagenet_r,10,10,2,0.52731741966384,0.09008707628864762,0.6407449659070548,200
M2,imagenet_r,20,20,0,0.5387053106516754,0.0948777201411209,0.6506185640454338,400
M2,imagenet_r,20,20,1,0.5519033882319053,0.14301359941722347,0.6665221589957193,400
M2,imagenet_r,20,20,2,0.5607743621658535,0.12202011315739449,0.6599924373337297,400
M3,camelyon17,5,5,0,0.9336396257705655,-0.04187046809489536,0.9397316528560495,5
M3,camelyon17,5,5,1,0.9336396257705655,-0.04187046809489536,0.9397316528560495,5
M3,camelyon17,5,5,2,0.9336396257705655,-0.04187046809489536,0.9397316528560495,5
M3,cifar100,10,10,0,0.8718,-0.0485,0.9095639285714286,100
M3,cifar100,10,10,1,0.87235,-0.03944444444444444,0.9104153869047618,100
M3,cifar100,10,10,2,0.8709,-0.04869444444444442,0.9088092162698412,100
M3,cifar100,20,20,0,0.860425,-0.04168421052631579,0.9100432859578932,200
M3,cifar100,20,20,1,0.8614500000000002,-0.03657894736842106,0.9097811971162223,200
M3,cifar100,20,20,2,0.8651500000000001,-0.041368421052631554,0.9089543620801284,200
M3,cub200,10,10,0,0.8361443851558539,-0.01734760551893613,0.8971164761785954,100
M3,cub200,10,10,1,0.801595106679222,-0.019580048986862608,0.8783071915770089,100
M3,cub200,10,10,2,0.8305130010524066,-0.019788503454483304,0.9066576348356385,100
M3,imagenet_r,10,10,0,0.7004523186447916,-0.0573365122691118,0.7578072738954373,100
M3,imagenet_r,10,10,1,0.6933651753819443,-0.05234562990814289,0.7491650967450789,100
M3,imagenet_r,10,10,2,0.6986241067999616,-0.059176507688836005,0.7624452682674964,100
M3,imagenet_r,20,20,0,0.6801154441960423,-0.06125044131221355,0.7533898860437496,200
M3,imagenet_r,20,20,1,0.6818752116463166,-0.04776053269022582,0.7528836535911428,200
M3,imagenet_r,20,20,2,0.6848746805230136,-0.05769578419889695,0.7655951897861119,200
M4,camelyon17,5,5,0,0.8952026152754538,-0.01564759896543308,0.8955164820607976,10
M4,camelyon17,5,5,1,0.8952026152754538,-0.01564759896543308,0.8955164820607976,10
M4,camelyon17,5,5,2,0.8952026152754538,-0.01564759896543308,0.8955164820607976,10
M4,cifar100,10,10,0,0.68205,-0.05019444444444444,0.7094224107142857,200
M4,cifar100,10,10,1,0.681475,-0.04588888888888888,0.7603033531746031,200
M4,cifar100,10,10,2,0.614275,-0.05247222222222219,0.7134422619047619,200
M4,cifar100,20,20,0,0.70515,-0.053131578947368426,0.7645111560785061,400
M4,cifar100,20,20,1,0.7019,-0.05531578947368419,0.7757957030710089,400
M4,cifar100,20,20,2,0.6817250000000001,-0.048421052631578934,0.7235780374934448,400
M4,cub200,10,10,0,0.608677089117995,-0.06655730202037274,0.6840949643054834,200
M4,cub200,10,10,1,0.5700160159676784,-0.09814172745312133,0.6114252528771447,200
M4,cub200,10,10,2,0.5678160925472675,-0.0649554696246954,0.6145179996785752,200
M4,imagenet_r,10,10,0,0.3471175511733547,-0.052258394298615944,0.4006237720693832,200
M4,imagenet_r,10,10,1,0.31327388587229094,-0.055526658319709744,0.3572160824049351,200
M4,imagenet_r,10,10,2,0.3230729588232397,-0.05316814035981318,0.3487913829600134,200
M4,imagenet_r,20,20,0,0.31924288817245794,-0.05883398369208215,0.35211575600676753,400
M4,imagenet_r,20,20,1,0.34821825560075725,-0.0701230533555673,0.38444449324612356,400
M4,imagenet_r,20,20,2,0.3443901722538649,-0.060853880771328854,0.3836478071093955,400
M5,camelyon17,5,5,0,0.9338935709936674,-0.044688104762147796,0.9483084666220014,10
