dataset,method,family,attack,fpr,tpr,seed
cifar100,m1_glfc,F1,A1_LiRA,0.00012033778407775893,0.0004013155318899025,0
cifar100,m1_glfc,F1,A1_LiRA,0.00012603829296797275,0.00041110371559453427,0
cifar100,m1_glfc,F1,A1_LiRA,0.0001320088400831418,0.00041599780744685014,0
cifar100,m1_glfc,F1,A1_LiRA,0.00013826221737646565,0.00041599780744685014,0
cifar100,m1_glfc,F1,A1_LiRA,0.0001448118227674533,0.00042578599115148194,0
cifar100,m1_glfc,F1,A1_LiRA,0.00015167168884709225,0.0004355741748561137,0
cifar100,m1_glfc,F1,A1_LiRA,0.00015885651294280528,0.0004453623585607455,0
cifar100,m1_glfc,F1,A1_LiRA,0.0001663816886076129,0.0004943032770839043,0
cifar100,m1_glfc,F1,A1_LiRA,0.00017426333860096508,0.0005285619200501155,0
cifar100,m1_glfc,F1,A1_LiRA,0.00018251834943190426,0.0005579264711640108,0
cifar100,m1_glfc,F1,A1_LiRA,0.00019116440753857018,0.0005823969304255902,0
cifar100,m1_glfc,F1,A1_LiRA,0.00020022003718155845,0.0006019732978348538,0
cifar100,m1_glfc,F1,A1_LiRA,0.00020970464013232327,0.0006166555733918014,0
cifar100,m1_glfc,F1,A1_LiRA,0.0002196385372416547,0.0006264437570964331,0
cifar100,m1_glfc,F1,A1_LiRA,0.0002300430119772917,0.0007047492267334873,0
cifar100,m1_glfc,F1,A1_LiRA,0.00024094035602395243,0.000719431502290435,0
cifar100,m1_glfc,F1,A1_LiRA,0.0002523539170434766,0.0007487960534043303,0
cifar100,m1_glfc,F1,A1_LiRA,0.00026430814869741055,0.0007879487882228573,0
cifar100,m1_glfc,F1,A1_LiRA,0.00027682866303920667,0.0008368897067460163,0
cifar100,m1_glfc,F1,A1_LiRA,0.0002899422853882875,0.0009005129008261227,0
cifar100,m1_glfc,F1,A1_LiRA,0.0003036771118035457,0.0009005129008261227,0
cifar100,m1_glfc,F1,A1_LiRA,0.0003180625692794119,0.0009641360949062292,0
cifar100,m1_glfc,F1,A1_LiRA,0.00033312947879346737,0.0009886065541678086,0
cifar100,m1_glfc,F1,A1_LiRA,0.0003489101213406774,0.0010032888297247563,0
