dataset,method,knob_name,knob_value,retention_bwt,tpr1,tpr01,final_acc,seed,ci_lo,ci_hi
cifar100,m2_target,n_synthetic_per_class,1,-0.14755555555555558,0.02322443866242652,0.00655295364748964,0.7814000000000001,1,0.020412767079392647,0.026307844863439664
cifar100,m2_target,n_synthetic_per_class,1,-0.12644444444444447,0.023714228537122274,0.0034020412247348407,0.7931999999999999,2,0.020820507103638426,0.02688985854908033
cifar100,m2_target,n_synthetic_per_class,2,-0.10766666666666669,0.03162665123903192,0.006460322051875422,0.8089000000000001,0,0.028342387541923555,0.03517722773870841
cifar100,m2_target,n_synthetic_per_class,2,-0.10111111111111112,0.030560437414567466,0.004588947471197032,0.8057000000000001,1,0.02731218898634009,0.03407908080070047
cifar100,m2_target,n_synthetic_per_class,2,-0.09844444444444446,0.026482947327274502,0.005765660119222124,0.8135,2,0.023458418534485295,0.029780829791169045
cifar100,m2_target,n_synthetic_per_class,5,-0.07744444444444445,0.035420995349757595,0.011081428712773326,0.8186,0,0.03190233755177098,0.03921050398408447
cifar100,m2_target,n_synthetic_per_class,5,-0.07311111111111111,0.03339226085248478,0.006580239638577882,0.8201,1,0.02998752664451876,0.03706714421118681
cifar100,m2_target,n_synthetic_per_class,5,-0.06855555555555556,0.03337236533957846,0.006928181108508977,0.8294,2,0.02997934166421338,0.03703379579700377
cifar100,m2_target,n_synthetic_per_class,10,-0.05377777777777778,0.040478290698814076,0.01323140252866804,0.8295000000000001,0,0.03673692493923241,0.044484727622435785
cifar100,m2_target,n_synthetic_per_class,10,-0.04555555555555557,0.035804141668279464,0.009386491194116508,0.8311,1,0.03230478170464295,0.039568109947072355
cifar100,m2_target,n_synthetic_per_class,10,-0.04755555555555556,0.03547080328030827,0.009979251062148009,0.8379,2,0.03195206781260787,0.03925997946901428
cifar100,m2_target,n_synthetic_per_class,20,-0.036777777777777784,0.043061264435310234,0.010765316108827559,0.8333,0,0.039207118203829085,0.047178475495883394
cifar100,m2_target,n_synthetic_per_class,20,-0.030111111111111127,0.04055517275322374,0.009252879220395709,0.8355,1,0.0368023894148283,0.04457413610504497
cifar100,m2_target,n_synthetic_per_class,20,-0.032888888888888884,0.04391158476416025,0.009177027827116636,0.8403,2,0.040004540195927404,0.048083358794702456
cifar100,m2_target,n_synthetic_per_class,50,-0.021555555555555564,0.04792581747193753,0.014543679843826257,0.8346,0,0.0438697236008299,0.05224127817315463
cifar100,m2_target,n_synthetic_per_class,50,-0.014777777777777779,0.043402101985208254,0.01012066952121448,0.8375999999999999,1,0.03954371622027138,0.04752184539390542
cifar100,m2_target,n_synthetic_per_class,50,-0.01588888888888888,0.04651846048379199,0.009793360101850945,0.8442000000000001,2,0.042514427793755576,0.0507835969431111
