method,dataset,n_tasks_requested,n_tasks_actual,seed,final_avg_acc,bwt,avg_incremental_acc,n_ledger_records,status
M5,cub200,10,10,0,0.8193838346969822,0.2616243337840578,0.8570801624286698,200,post_fix_t10_2026-09-23
M5,cub200,10,10,1,0.8186481925172518,0.31959566149435337,0.8420304520583229,200,post_fix_t10_2026-09-23
M5,cub200,10,10,2,0.7909763286538458,0.2710108643864169,0.850315458028678,200,post_fix_t10_2026-09-23
M5,imagenet_r,10,10,0,0.6278218797387372,0.12397953059308667,0.6608594738088208,200,post_fix_t10_2026-09-23
M5,imagenet_r,10,10,1,0.6228697506754588,0.11126845390931203,0.6775076269618466,200,post_fix_t10_2026-09-23
M5,imagenet_r,10,10,2,0.6286685289825694,0.1238999687115927,0.6723180981624364,200,post_fix_t10_2026-09-23
M5,imagenet_r,20,20,0,0.5885795250410017,-0.018044893599661736,0.683327005709679,400,stale_pre_fix_2026-09-15
M5,imagenet_r,20,20,1,0.5964090089562826,0.03168971351274008,0.6891569460286504,400,stale_pre_fix_2026-09-15
M5,imagenet_r,20,20,2,0.6041395917988157,0.012350159584239748,0.6877684824341954,400,stale_pre_fix_2026-09-15
M8,camelyon17,5,5,0,0.9638303391414734,-0.014480927955502654,0.970131822449671,5,stale_pre_fix_2026-09-15
M8,camelyon17,5,5,1,0.9638303391414734,-0.014480927955502654,0.970131822449671,5,stale_pre_fix_2026-09-15
M8,camelyon17,5,5,2,0.9638303391414734,-0.014480927955502654,0.970131822449671,5,stale_pre_fix_2026-09-15
M8,cifar100,10,10,0,0.8833,-0.045555555555555544,0.9217305158730159,100,post_fix_t10_2026-09-23
M8,cifar100,10,10,1,0.8833,-0.04477777777777778,0.9201888095238095,100,post_fix_t10_2026-09-23
M8,cifar100,10,10,2,0.8833,-0.04911111111111113,0.9190847619047618,100,post_fix_t10_2026-09-23
M8,cifar100,20,20,0,0.89085,-0.05392105263157893,0.9393046573897162,200,stale_pre_fix_2026-09-15
M8,cifar100,20,20,1,0.8908500000000001,-0.05134210526315787,0.9367276399165204,200,stale_pre_fix_2026-09-15
M8,cifar100,20,20,2,0.89085,-0.05839473684210527,0.9366884868455418,200,stale_pre_fix_2026-09-15
M8,cub200,10,10,0,0.8712874613349824,-0.04682169841778568,0.9185998276722863,100,post_fix_t10_2026-09-23
M8,cub200,10,10,1,0.8711366992727874,-0.04955136079742381,0.9099612460652795,100,post_fix_t10_2026-09-23
M8,cub200,10,10,2,0.8712469774937723,-0.05722589717952911,0.9170571165567687,100,post_fix_t10_2026-09-23
M8,imagenet_r,10,10,0,0.6415809135712617,-0.09087110117099018,0.6988182868116548,100,post_fix_t10_2026-09-23
M8,imagenet_r,10,10,1,0.6406225193597145,-0.08729034969891292,0.7184688038243054,100,post_fix_t10_2026-09-23
M8,imagenet_r,10,10,2,0.6402750130622398,-0.0852847374812219,0.7078296391007141,100,post_fix_t10_2026-09-23
M8,imagenet_r,20,20,0,0.7390440160509069,-0.12707689858239885,0.8481407875885804,200,stale_pre_fix_2026-09-15
M8,imagenet_r,20,20,1,0.7405561918388602,-0.10994524172879894,0.8484672226303637,200,stale_pre_fix_2026-09-15
M8,imagenet_r,20,20,2,0.7385875988779894,-0.12305377148574888,0.8539090914060837,200,stale_pre_fix_2026-09-15
