dataset,method,T,eps_target,eps_analytical,eps_audited_lb,eps_audited_ci_lo,eps_audited_ci_hi,final_acc,bwt,seed,ci_lo,ci_hi
cifar100,m9_contractive_U1,10,inf,inf,,,,0.8835000000000001,-0.047222222222222214,0,0.8834999999999998,0.8835000000000003
cifar100,m9_contractive_U1,10,inf,inf,,,,0.8835000000000001,-0.045000000000000005,1,0.8834999999999998,0.8835000000000003
cifar100,m9_contractive_U1,10,inf,inf,,,,0.8835,-0.04911111111111113,2,0.8834999999999998,0.8835000000000003
cifar100,m9_contractive_U2,10,0.5,0.5,,,,0.0077,-0.02133333333333333,0,-0.00777727216784386,0.035910605501177195
cifar100,m9_contractive_U2,10,0.5,0.5,,,,0.010400000000000001,-0.017777777777777774,1,-0.00777727216784386,0.035910605501177195
cifar100,m9_contractive_U2,10,0.5,0.5,,,,0.0241,-0.029444444444444447,2,-0.00777727216784386,0.035910605501177195
cifar100,m9_contractive_U2,10,1.0,1.0,,,,0.0093,-0.020555555555555556,0,-0.0048997380735540524,0.03436640474022072
cifar100,m9_contractive_U2,10,1.0,1.0,,,,0.0111,-0.018222222222222223,1,-0.0048997380735540524,0.03436640474022072
cifar100,m9_contractive_U2,10,1.0,1.0,,,,0.023799999999999998,-0.031111111111111107,2,-0.0048997380735540524,0.03436640474022072
cifar100,m9_contractive_U2,10,2.0,2.0,,,,0.009300000000000001,-0.020444444444444446,0,-0.002294054271729856,0.031227387605063182
cifar100,m9_contractive_U2,10,2.0,2.0,,,,0.012,-0.025222222222222222,1,-0.002294054271729856,0.031227387605063182
cifar100,m9_contractive_U2,10,2.0,2.0,,,,0.022099999999999998,-0.030888888888888893,2,-0.002294054271729856,0.031227387605063182
cifar100,m9_contractive_U2,10,4.0,4.0,,,,0.0126,-0.029333333333333336,0,0.0031267295409974707,0.0279399371256692
cifar100,m9_contractive_U2,10,4.0,4.0,,,,0.0127,-0.034555555555555555,1,0.0031267295409974707,0.0279399371256692
cifar100,m9_contractive_U2,10,4.0,4.0,,,,0.021300000000000003,-0.03933333333333333,2,0.0031267295409974707,0.0279399371256692
cifar100,m9_contractive_U2,10,8.0,8.0,,,,0.017,-0.05288888888888889,0,0.010668208836713117,0.02359845782995355
cifar100,m9_contractive_U2,10,8.0,8.0,,,,0.014599999999999998,-0.07211111111111111,1,0.010668208836713117,0.02359845782995355
cifar100,m9_contractive_U2,10,8.0,8.0,,,,0.0198,-0.05777777777777778,2,0.010668208836713117,0.02359845782995355
cifar100,m9_contractive_U2,10,inf,inf,,,,0.8812,-0.044888888888888895,0,0.8775785619233596,0.8832214380766403
cifar100,m9_contractive_U2,10,inf,inf,,,,0.8791,-0.04633333333333334,1,0.8775785619233596,0.8832214380766403
cifar100,m9_contractive_U2,10,inf,inf,,,,0.8809000000000001,-0.05100000000000001,2,0.8775785619233596,0.8832214380766403
cub200,m9_contractive_U1,10,0.5,0.5,,,,0.010301385860607847,-0.011951973848860419,0,-0.000142659400813731,0.016092575982629698
cub200,m9_contractive_U1,10,0.5,0.5,,,,0.009384523720001462,-0.020447418609331882,1,-0.000142659400813731,0.016092575982629698
cub200,m9_contractive_U1,10,0.5,0.5,,,,0.0042389652921146475,-0.024666088184963735,2,-0.000142659400813731,0.016092575982629698
cub200,m9_contractive_U1,10,1.0,1.0,,,,0.016133107695066654,-0.10317504777567456,0,0.0006578022024242951,0.03426496955581389
cub200,m9_contractive_U1,10,1.0,1.0,,,,0.011459699781185889,-0.09803299469720667,1,0.0006578022024242951,0.03426496955581389
cub200,m9_contractive_U1,10,1.0,1.0,,,,0.02479135016110474,-0.06956061213745623,2,0.0006578022024242951,0.03426496955581389
cub200,m9_contractive_U1,10,2.0,2.0,,,,0.052494817626282456,-0.20280274978688395,0,0.02398587911374623,0.07680071761526464
cub200,m9_contractive_U1,10,2.0,2.0,,,,0.03886907350852695,-0.22495258421248007,1,0.02398587911374623,0.07680071761526464
cub200,m9_contractive_U1,10,2.0,2.0,,,,0.05981600395870692,-0.16382688248255287,2,0.02398587911374623,0.07680071761526464
cub200,m9_contractive_U1,10,4.0,4.0,,,,0.09365659165953615,-0.28136823378325304,0,0.06511634435668597,0.1115463462651566
cub200,m9_contractive_U1,10,4.0,4.0,,,,0.07754063126033335,-0.2960243911920683,1,0.06511634435668597,0.1115463462651566
cub200,m9_contractive_U1,10,4.0,4.0,,,,0.0937968130128943,-0.290069905038454,2,0.06511634435668597,0.1115463462651566
cub200,m9_contractive_U1,10,8.0,8.0,,,,0.14534140947388133,-0.30894472612611307,0,0.1265519899508334,0.19590064808927
cub200,m9_contractive_U1,10,8.0,8.0,,,,0.17153230062484484,-0.2913703736157644,1,0.1265519899508334,0.19590064808927
cub200,m9_contractive_U1,10,8.0,8.0,,,,0.1668052469614289,-0.3504844949894136,2,0.1265519899508334,0.19590064808927
cub200,m9_contractive_U1,10,inf,inf,,,,0.8679961939022132,-0.049508950027052884,0,0.8676227946235775,0.8681965453243967
cub200,m9_contractive_U1,10,inf,inf,,,,0.8677785359411644,-0.05365894736634965,1,0.8676227946235775,0.8681965453243967
cub200,m9_contractive_U1,10,inf,inf,,,,0.8679542800785842,-0.06508243130621845,2,0.8676227946235775,0.8681965453243967
cub200,m9_contractive_U2,10,0.5,0.5,,,,0.003777493101686932,0.00036840457265244317,0,0.0008362121768336582,0.005696512178074976
cub200,m9_contractive_U2,10,0.5,0.5,,,,0.0038831872525255467,-0.010810556125898693,1,0.0008362121768336582,0.005696512178074976
cub200,m9_contractive_U2,10,0.5,0.5,,,,0.0021384061781504734,-0.007209466608446337,2,0.0008362121768336582,0.005696512178074976
cub200,m9_contractive_U2,10,1.0,1.0,,,,0.004796145224174048,0.00244845553670468,0,-0.0004406576695261482,0.007757209783300209
cub200,m9_contractive_U2,10,1.0,1.0,,,,0.004412814858265964,-0.010999424203291586,1,-0.0004406576695261482,0.007757209783300209
cub200,m9_contractive_U2,10,1.0,1.0,,,,0.0017658680882210794,-0.005935535311484409,2,-0.0004406576695261482,0.007757209783300209
cub200,m9_contractive_U2,10,2.0,2.0,,,,0.009577497253303226,0.005270356373116292,0,-0.004255902956597084,0.015069657516829836
cub200,m9_contractive_U2,10,2.0,2.0,,,,0.004765496814712121,-0.011587663234827383,1,-0.004255902956597084,0.015069657516829836
cub200,m9_contractive_U2,10,2.0,2.0,,,,0.0018776377723337804,-0.005189598690277016,2,-0.004255902956597084,0.015069657516829836
cub200,m9_contractive_U2,10,4.0,4.0,,,,0.010079968795126622,0.0035202322412756512,0,-0.0037366615451133412,0.015842822646220285
cub200,m9_contractive_U2,10,4.0,4.0,,,,0.005875074557605186,-0.00986050801229457,1,-0.0037366615451133412,0.015842822646220285
cub200,m9_contractive_U2,10,4.0,4.0,,,,0.0022041982989286077,-0.006316753863934699,2,-0.0037366615451133412,0.015842822646220285
cub200,m9_contractive_U2,10,8.0,8.0,,,,0.004689052897864596,-0.020684040514124452,0,-0.0025544072608552357,0.017425219862348126
cub200,m9_contractive_U2,10,8.0,8.0,,,,0.0055658764187792534,-0.020251799867015648,1,-0.0025544072608552357,0.017425219862348126
cub200,m9_contractive_U2,10,8.0,8.0,,,,0.012051289585595485,-0.011504516593473794,2,-0.0025544072608552357,0.017425219862348126
cub200,m9_contractive_U2,10,inf,inf,,,,0.8435303813203721,-0.06888213493322967,0,0.8372150529014185,0.8579275265730241
cub200,m9_contractive_U2,10,inf,inf,,,,0.8518574464877633,-0.057185702328220116,1,0.8372150529014185,0.8579275265730241
cub200,m9_contractive_U2,10,inf,inf,,,,0.8473260414035286,-0.0766714629468092,2,0.8372150529014185,0.8579275265730241
imagenet_r,m9_contractive_U1,10,0.5,0.5,,,,0.0160553646923078,-0.043715169065049166,0,0.009801021335403157,0.01953070424856825
imagenet_r,m9_contractive_U1,10,0.5,0.5,,,,0.015516150985813215,-0.06629344611724826,1,0.009801021335403157,0.01953070424856825
imagenet_r,m9_contractive_U1,10,0.5,0.5,,,,0.0124260726978361,-0.051446097269560676,2,0.009801021335403157,0.01953070424856825
imagenet_r,m9_contractive_U1,10,1.0,1.0,,,,0.09354601219916076,-0.12998209076979628,0,0.04857527967073555,0.11544494025474092
imagenet_r,m9_contractive_U1,10,1.0,1.0,,,,0.08526134923380788,-0.16467304591215803,1,0.04857527967073555,0.11544494025474092
imagenet_r,m9_contractive_U1,10,1.0,1.0,,,,0.0672229684552461,-0.18209008963406126,2,0.04857527967073555,0.11544494025474092
imagenet_r,m9_contractive_U1,10,2.0,2.0,,,,0.20395350147040134,-0.15377586727044854,0,0.18845567776321165,0.21733123338925897
imagenet_r,m9_contractive_U1,10,2.0,2.0,,,,0.2081024593752744,-0.14914756917388228,1,0.18845567776321165,0.21733123338925897
imagenet_r,m9_contractive_U1,10,2.0,2.0,,,,0.19662440588303015,-0.19117655772372594,2,0.18845567776321165,0.21733123338925897
imagenet_r,m9_contractive_U1,10,4.0,4.0,,,,0.32609522917306183,-0.1202381346872466,0,0.3149563985453958,0.3329506691079406
imagenet_r,m9_contractive_U1,10,4.0,4.0,,,,0.31977181171002605,-0.1153015763033783,1,0.3149563985453958,0.3329506691079406
