dataset,unit,eps,p,lambda,clip_C,ref_val_final_avg_acc,selected
imagenet_r,U2,inf,256,0.1,10.863782050322904,0.48129225390124997,0
imagenet_r,U2,inf,256,1.0,10.863782050322904,0.4655650741953242,0
imagenet_r,U2,inf,256,10.0,10.863782050322904,0.3955774168767098,0
imagenet_r,U2,inf,256,100.0,10.863782050322904,0.2662583954101771,0
imagenet_r,U1,0.5,768,0.01,10.160528743918903,0.004465626536278709,0
imagenet_r,U1,0.5,768,0.1,10.160528743918903,0.004465626536278709,0
imagenet_r,U1,0.5,768,1.0,10.160528743918903,0.004465626536278709,0
imagenet_r,U1,0.5,768,10.0,10.160528743918903,0.005207221790069085,0
imagenet_r,U1,0.5,768,100.0,10.160528743918903,0.00450080262611087,0
imagenet_r,U1,1,768,0.01,10.160528743918903,0.005132293202945376,0
imagenet_r,U1,1,768,0.1,10.160528743918903,0.005132293202945376,0
imagenet_r,U1,1,768,1.0,10.160528743918903,0.005807968878621052,0
imagenet_r,U1,1,768,10.0,10.160528743918903,0.0045315461143934106,0
imagenet_r,U1,1,768,100.0,10.160528743918903,0.0031672322135930893,0
imagenet_r,U1,2,768,0.01,10.160528743918903,0.006474635545287719,0
imagenet_r,U1,2,768,0.1,10.160528743918903,0.006474635545287719,0
imagenet_r,U1,2,768,1.0,10.160528743918903,0.006474635545287719,0
imagenet_r,U1,2,768,10.0,10.160528743918903,0.007150311220963395,0
imagenet_r,U1,2,768,100.0,10.160528743918903,0.004430583082395895,0
imagenet_r,U1,4,768,0.01,10.160528743918903,0.008391479439526972,0
imagenet_r,U1,4,768,0.1,10.160528743918903,0.008391479439526972,0
imagenet_r,U1,4,768,1.0,10.160528743918903,0.0097509450394989,0
imagenet_r,U1,4,768,10.0,10.160528743918903,0.010309376015745952,0
imagenet_r,U1,4,768,100.0,10.160528743918903,0.00968298790155296,0
imagenet_r,U1,8,768,0.01,10.160528743918903,0.01545895502371405,0
imagenet_r,U1,8,768,0.1,10.160528743918903,0.014783279348038376,0
imagenet_r,U1,8,768,1.0,10.160528743918903,0.014195604154911246,0
imagenet_r,U1,8,768,10.0,10.160528743918903,0.016130175817794117,0
imagenet_r,U1,8,768,100.0,10.160528743918903,0.02055060088439339,0
imagenet_r,U1,inf,768,0.01,10.160528743918903,0.46230143353603453,0
imagenet_r,U1,inf,768,0.1,10.160528743918903,0.4963047170994221,0
imagenet_r,U1,inf,768,1.0,10.160528743918903,0.5153498673968624,1
imagenet_r,U1,inf,768,10.0,10.160528743918903,0.4343534604230953,0
imagenet_r,U1,inf,768,100.0,10.160528743918903,0.2749760799562575,0
imagenet_r,U2,0.5,768,0.01,10.160528743918903,0.003943870921266279,0
imagenet_r,U2,0.5,768,0.1,10.160528743918903,0.003943870921266279,0
imagenet_r,U2,0.5,768,1.0,10.160528743918903,0.003943870921266279,0
imagenet_r,U2,0.5,768,10.0,10.160528743918903,0.003943870921266279,0
imagenet_r,U2,0.5,768,100.0,10.160528743918903,0.004518583564944441,0
imagenet_r,U2,1,768,0.01,10.160528743918903,0.0032681952455906036,0
imagenet_r,U2,1,768,0.1,10.160528743918903,0.0032681952455906036,0
imagenet_r,U2,1,768,1.0,10.160528743918903,0.0032681952455906036,0
imagenet_r,U2,1,768,10.0,10.160528743918903,0.003943870921266279,0
imagenet_r,U2,1,768,100.0,10.160528743918903,0.004518583564944441,0
imagenet_r,U2,2,768,0.01,10.160528743918903,0.005141302211954386,0
imagenet_r,U2,2,768,0.1,10.160528743918903,0.005141302211954386,0
imagenet_r,U2,2,768,1.0,10.160528743918903,0.0038779513431515798,0
imagenet_r,U2,2,768,10.0,10.160528743918903,0.003943870921266279,0
imagenet_r,U2,2,768,100.0,10.160528743918903,0.003842907889268765,0
imagenet_r,U2,4,768,0.01,10.160528743918903,0.005141302211954386,0
imagenet_r,U2,4,768,0.1,10.160528743918903,0.004465626536278709,0
imagenet_r,U2,4,768,1.0,10.160528743918903,0.004465626536278709,0
imagenet_r,U2,4,768,10.0,10.160528743918903,0.004553627018827255,0
imagenet_r,U2,4,768,100.0,10.160528743918903,0.00450080262611087,0
imagenet_r,U2,8,768,0.01,10.160528743918903,0.005132293202945376,0
imagenet_r,U2,8,768,0.1,10.160528743918903,0.005132293202945376,0
imagenet_r,U2,8,768,1.0,10.160528743918903,0.005132293202945376,0
imagenet_r,U2,8,768,10.0,10.160528743918903,0.0038558704387177344,0
imagenet_r,U2,8,768,100.0,10.160528743918903,0.0031672322135930893,0
imagenet_r,U2,inf,768,0.01,10.160528743918903,0.46233067775291464,0
imagenet_r,U2,inf,768,0.1,10.160528743918903,0.49574257358596013,0
imagenet_r,U2,inf,768,1.0,10.160528743918903,0.5130899668224,1
imagenet_r,U2,inf,768,10.0,10.160528743918903,0.43724222265002527,0
imagenet_r,U2,inf,768,100.0,10.160528743918903,0.27786544669420143,0
