method,dataset,n_tasks,ledger_hash,unit,window_W,sigma,delta,T,m_T,m_T_passes,eps,regime,observed
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,3,6.0,93.0,6.627064838413654,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,4,8.0,124.0,7.786148140875069,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,5,10.0,155.0,8.837137179629,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,6,12.0,186.0,9.811302669989779,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,7,14.0,217.0,10.727493607361541,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,8,16.0,248.0,11.597073111012214,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,9,18.0,279.0,12.429255783705855,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,10,20.0,310.0,13.230019140012296,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,11,22.0,nan,14.00355442581983,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,13,26.0,nan,15.484581546057857,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,16,32.0,nan,17.572818052042024,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,19,38.0,nan,19.54041303075243,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,23,46.00000000000001,nan,22.02267769906763,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,28,56.00000000000001,nan,24.95475168674332,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,34,68.00000000000001,nan,28.287921514591282,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,41,82.00000000000001,nan,31.977383847246536,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,49,98.00000000000001,nan,36.00296953997069,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,60,120.00000000000003,nan,41.28364511615619,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,72,144.00000000000003,nan,46.80211497152102,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,87,174.00000000000003,nan,53.39927427762436,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,105,210.00000000000003,nan,61.03463698874844,accumulating,0
