dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
cifar100,m4_proto,2,3,5,2,0.8,0.79
cifar100,m4_proto,2,3,6,3,0.776,0.76525
cifar100,m4_proto,2,3,7,4,0.764,0.75425
cifar100,m4_proto,2,3,8,5,0.759,0.74625
cifar100,m4_proto,2,3,9,6,0.737,0.731
cifar100,m4_proto,2,4,4,0,0.822,0.817
cifar100,m4_proto,2,4,5,1,0.773,0.77475
cifar100,m4_proto,2,4,6,2,0.769,0.772
cifar100,m4_proto,2,4,7,3,0.76,0.76475
cifar100,m4_proto,2,4,8,4,0.756,0.76175
cifar100,m4_proto,2,4,9,5,0.754,0.75525
cifar100,m4_proto,2,5,5,0,0.799,0.82575
cifar100,m4_proto,2,5,6,1,0.789,0.81625
cifar100,m4_proto,2,5,7,2,0.788,0.81
cifar100,m4_proto,2,5,8,3,0.779,0.80075
cifar100,m4_proto,2,5,9,4,0.765,0.78775
cifar100,m4_proto,2,6,6,0,0.826,0.828
cifar100,m4_proto,2,6,7,1,0.818,0.8225
cifar100,m4_proto,2,6,8,2,0.815,0.8145
cifar100,m4_proto,2,6,9,3,0.793,0.7945
cifar100,m4_proto,2,7,7,0,0.856,0.84625
cifar100,m4_proto,2,7,8,1,0.838,0.836
cifar100,m4_proto,2,7,9,2,0.832,0.8285
cifar100,m4_proto,2,8,8,0,0.796,0.81775
cifar100,m4_proto,2,8,9,1,0.792,0.813
cifar100,m4_proto,2,9,9,0,0.775,0.7965
cifar100,m4_proto,3,0,0,0,0.936,0.93775
cifar100,m4_proto,3,0,1,1,0.892,0.8915
cifar100,m4_proto,3,0,2,2,0.869,0.87075
cifar100,m4_proto,3,0,3,3,0.849,0.84625
cifar100,m4_proto,3,0,4,4,0.835,0.8305
cifar100,m4_proto,3,0,5,5,0.828,0.82275
cifar100,m4_proto,3,0,6,6,0.824,0.81775
cifar100,m4_proto,3,0,7,7,0.813,0.8125
cifar100,m4_proto,3,0,8,8,0.805,0.801
cifar100,m4_proto,3,0,9,9,0.775,0.77675
cifar100,m4_proto,3,1,1,0,0.835,0.843
cifar100,m4_proto,3,1,2,1,0.813,0.8235
cifar100,m4_proto,3,1,3,2,0.788,0.8035
cifar100,m4_proto,3,1,4,3,0.776,0.78975
cifar100,m4_proto,3,1,5,4,0.771,0.78725
cifar100,m4_proto,3,1,6,5,0.76,0.77075
cifar100,m4_proto,3,1,7,6,0.757,0.765
cifar100,m4_proto,3,1,8,7,0.743,0.748
cifar100,m4_proto,3,1,9,8,0.734,0.73575
cifar100,m4_proto,3,2,2,0,0.881,0.8785
cifar100,m4_proto,3,2,3,1,0.857,0.86125
cifar100,m4_proto,3,2,4,2,0.83,0.84175
cifar100,m4_proto,3,2,5,3,0.811,0.83075
cifar100,m4_proto,3,2,6,4,0.793,0.81525
cifar100,m4_proto,3,2,7,5,0.792,0.81325
cifar100,m4_proto,3,2,8,6,0.779,0.805
cifar100,m4_proto,3,2,9,7,0.778,0.80225
cifar100,m4_proto,3,3,3,0,0.834,0.856
cifar100,m4_proto,3,3,4,1,0.821,0.841
cifar100,m4_proto,3,3,5,2,0.8,0.82225
cifar100,m4_proto,3,3,6,3,0.787,0.815
cifar100,m4_proto,3,3,7,4,0.767,0.79775
cifar100,m4_proto,3,3,8,5,0.756,0.78525
cifar100,m4_proto,3,3,9,6,0.748,0.778
cifar100,m4_proto,3,4,4,0,0.779,0.78525
cifar100,m4_proto,3,4,5,1,0.767,0.772
cifar100,m4_proto,3,4,6,2,0.74,0.753
cifar100,m4_proto,3,4,7,3,0.738,0.75125
cifar100,m4_proto,3,4,8,4,0.724,0.734
cifar100,m4_proto,3,4,9,5,0.72,0.732
cifar100,m4_proto,3,5,5,0,0.83,0.8305
cifar100,m4_proto,3,5,6,1,0.817,0.81875
cifar100,m4_proto,3,5,7,2,0.787,0.78975
cifar100,m4_proto,3,5,8,3,0.78,0.78425
cifar100,m4_proto,3,5,9,4,0.776,0.78
cifar100,m4_proto,3,6,6,0,0.753,0.7615
cifar100,m4_proto,3,6,7,1,0.746,0.7555
cifar100,m4_proto,3,6,8,2,0.736,0.74775
cifar100,m4_proto,3,6,9,3,0.736,0.74625
cifar100,m4_proto,3,7,7,0,0.855,0.844
cifar100,m4_proto,3,7,8,1,0.848,0.8385
cifar100,m4_proto,3,7,9,2,0.847,0.8335
cifar100,m4_proto,3,8,8,0,0.787,0.80075
cifar100,m4_proto,3,8,9,1,0.777,0.7885
cifar100,m4_proto,3,9,9,0,0.805,0.815
cifar100,m4_proto,4,0,0,0,0.87,0.88575
cifar100,m4_proto,4,0,1,1,0.835,0.84625
cifar100,m4_proto,4,0,2,2,0.819,0.8265
cifar100,m4_proto,4,0,3,3,0.815,0.82325
cifar100,m4_proto,4,0,4,4,0.801,0.8065
cifar100,m4_proto,4,0,5,5,0.786,0.79075
cifar100,m4_proto,4,0,6,6,0.775,0.77975
cifar100,m4_proto,4,0,7,7,0.765,0.7705
cifar100,m4_proto,4,0,8,8,0.747,0.754
cifar100,m4_proto,4,0,9,9,0.743,0.7485
