dataset,method,family,view,elapsed,acc_mean,acc_ci_lo,acc_ci_hi,acc_norm,tpr1_mean,tpr1_ci_lo,tpr1_ci_hi,tpr1_norm,auc_mean,auc_ci_lo,auc_ci_hi,auc_norm,leak_norm
cifar100,m3_fot,F1,full,6,0.74685,0.7286499999999999,0.7665087500000001,0.8576314405011983,0.03769760843129307,0.03306427895553826,0.042674776237639815,1.4659944217978975,0.6032249020457731,0.5944584960723001,0.6131041880755705,1.4703728130667795,1.4659944217978975
cifar100,m4_proto,F2,aggregate,0,0.8686999999999999,0.8472362499999998,0.8890562499999998,1.0,0.057633891587206186,0.051352535845206985,0.06616781886437365,1.0,0.681064434196777,0.6761605472213414,0.6860730302906889,1.0,1.0
cifar100,m4_proto,F2,aggregate,1,0.8454499999999999,0.8258987499999997,0.8625012499999998,0.9960201644998675,0.057633891587206186,0.051352535845206985,0.06616781886437365,1.0,0.681064434196777,0.6761605472213414,0.6860730302906889,1.0,1.0
cifar100,m4_proto,F2,aggregate,2,0.8242499999999999,0.8022000000000002,0.84170125,0.9802640978019063,0.057633891587206186,0.051352535845206985,0.06616781886437365,1.0,0.681064434196777,0.6761605472213414,0.6860730302906889,1.0,1.0
cifar100,m4_proto,F2,aggregate,3,0.81005,0.7862962500000001,0.8282999999999999,0.968706538884305,0.057633891587206186,0.051352535845206985,0.06616781886437365,1.0,0.681064434196777,0.6761605472213414,0.6860730302906889,1.0,1.0
cifar100,m4_proto,F2,aggregate,4,0.7977000000000001,0.7759974999999998,0.8168000000000001,0.9574099288877745,0.057633891587206186,0.051352535845206985,0.06616781886437365,1.0,0.681064434196777,0.6761605472213414,0.6860730302906889,1.0,1.0
cifar100,m4_proto,F2,aggregate,5,0.7873499999999999,0.7659975,0.8034012499999998,0.9474569385686396,0.057633891587206186,0.051352535845206985,0.06616781886437365,1.0,0.681064434196777,0.6761605472213414,0.6860730302906889,1.0,1.0
cifar100,m4_proto,F2,aggregate,6,0.77645,0.7563487500000001,0.79260125,0.9361501238656985,0.057633891587206186,0.051352535845206985,0.06616781886437365,1.0,0.681064434196777,0.6761605472213414,0.6860730302906889,1.0,1.0
cifar100,m4_proto,F2,full,0,0.8686999999999999,0.8472362499999998,0.8890562499999998,1.0,0.3434382945433209,0.31391409951634075,0.37400427277649656,1.0,0.8826480942983708,0.8731303797435811,0.8923753323934291,1.0,1.0
cifar100,m4_proto,F2,full,1,0.8454499999999999,0.8258987499999997,0.8625012499999998,0.9960201644998675,0.3434382945433209,0.31391409951634075,0.37400427277649656,1.0,0.8826480942983708,0.8731303797435811,0.8923753323934291,1.0,1.0
