dataset,method,family,attack,fpr,tpr,seed
cifar100,m0_fedavg,F1,A1_LiRA,0.5478901179593945,0.6222252151873936,0
cifar100,m0_fedavg,F1,A1_LiRA,0.5738441648302393,0.6469335031160849,0
cifar100,m0_fedavg,F1,A1_LiRA,0.6010276782070382,0.6730008693203384,0
cifar100,m0_fedavg,F1,A1_LiRA,0.6294988990221888,0.7002314106252985,0
cifar100,m0_fedavg,F1,A1_LiRA,0.6593188271333549,0.728551663340394,0
cifar100,m0_fedavg,F1,A1_LiRA,0.6905513520162331,0.7584146535574792,0
cifar100,m0_fedavg,F1,A1_LiRA,0.7232633896483533,0.7873838355392847,0
cifar100,m0_fedavg,F1,A1_LiRA,0.7575250258771913,0.8191446377627858,0
cifar100,m0_fedavg,F1,A1_LiRA,0.7934096665797492,0.8510033915737147,0
cifar100,m0_fedavg,F1,A1_LiRA,0.8309941949353395,0.8834988307029251,0
cifar100,m0_fedavg,F1,A1_LiRA,0.8703591361485166,0.9156881711214232,0
cifar100,m0_fedavg,F1,A1_LiRA,0.9115888299750827,0.9493222974544832,0
cifar100,m0_fedavg,F1,A1_LiRA,0.9547716114208056,0.9793811908464242,0
cifar100,m0_fedavg,F1,A1_LiRA,1.0,1.0,0
cifar100,m1_glfc,F1,A1_LiRA,0.0,0.003977021652673442,0
cifar100,m1_glfc,F1,A1_LiRA,0.0001,0.005106299405901704,0
cifar100,m1_glfc,F1,A1_LiRA,0.00010473708979594497,0.005106299405901704,0
cifar100,m1_glfc,F1,A1_LiRA,0.00010969857978923841,0.005106299405901704,0
cifar100,m1_glfc,F1,A1_LiRA,0.00011489510001873086,0.005106299405901704,0
cifar100,m1_glfc,F1,A1_LiRA,0.00012033778407775893,0.005106299405901704,0
cifar100,m1_glfc,F1,A1_LiRA,0.00012603829296797275,0.005106299405901704,0
cifar100,m1_glfc,F1,A1_LiRA,0.0001320088400831418,0.005106299405901704,0
cifar100,m1_glfc,F1,A1_LiRA,0.00013826221737646565,0.005106299405901704,0
cifar100,m1_glfc,F1,A1_LiRA,0.0001448118227674533,0.005106299405901704,0
cifar100,m1_glfc,F1,A1_LiRA,0.00015167168884709225,0.006137379093631856,0
cifar100,m1_glfc,F1,A1_LiRA,0.00015885651294280528,0.006137379093631856,0
cifar100,m1_glfc,F1,A1_LiRA,0.0001663816886076129,0.006137379093631856,0
cifar100,m1_glfc,F1,A1_LiRA,0.00017426333860096508,0.006137379093631856,0
cifar100,m1_glfc,F1,A1_LiRA,0.00018251834943190426,0.006137379093631856,0
cifar100,m1_glfc,F1,A1_LiRA,0.00019116440753857018,0.006137379093631856,0
cifar100,m1_glfc,F1,A1_LiRA,0.00020022003718155845,0.00628467619187902,0
cifar100,m1_glfc,F1,A1_LiRA,0.00020970464013232327,0.00628467619187902,0
cifar100,m1_glfc,F1,A1_LiRA,0.0002196385372416547,0.00628467619187902,0
cifar100,m1_glfc,F1,A1_LiRA,0.0002300430119772917,0.00628467619187902,0
cifar100,m1_glfc,F1,A1_LiRA,0.00024094035602395243,0.00628467619187902,0
