dataset,method,unit,eps,gamma,n_clients,seed,p,lambda,clip_C,final_avg_acc,bwt,avg_incremental_acc
cub200,m9_contractive,U2,4,0.9,10,2,32,0.01,14.327236358800086,0.0032785969076174854,-0.007834421224558206,0.009504357215923239
cub200,m9_contractive,U2,4,0.7,10,0,32,0.01,14.327236358800086,0.006494888376606875,0.0011106046210379384,0.010925862992944457
cub200,m9_contractive,U2,4,0.7,10,1,32,0.01,14.327236358800086,0.006056954503293339,-0.005602131184208953,0.018936497557661323
cub200,m9_contractive,U2,4,0.7,10,2,32,0.01,14.327236358800086,0.0063888080721089865,-0.0032667169314009644,0.010632441206078503
cub200,m9_contractive,U2,8,1.0,10,0,64,100.0,12.690162952890445,0.004689052897864596,-0.020684040514124452,0.022054394312803757
cub200,m9_contractive,U2,8,1.0,10,1,64,100.0,12.690162952890445,0.0055658764187792534,-0.020251799867015648,0.018920906585927752
cub200,m9_contractive,U2,8,1.0,10,2,64,100.0,12.690162952890445,0.012051289585595485,-0.011504516593473794,0.029463446968566852
cub200,m9_contractive,U2,8,0.9,10,0,64,100.0,12.690162952890445,0.005032871607852563,-0.020827640993996595,0.021031628302425113
cub200,m9_contractive,U2,8,0.9,10,1,64,100.0,12.690162952890445,0.002761513113011235,-0.02513547576032889,0.018819467416510624
cub200,m9_contractive,U2,8,0.9,10,2,64,100.0,12.690162952890445,0.013615938994357465,-0.010138843482806966,0.02904920050702985
cub200,m9_contractive,U2,8,0.7,10,0,64,100.0,12.690162952890445,0.004528974552003288,-0.02308829092197366,0.021193010465325866
cub200,m9_contractive,U2,8,0.7,10,1,64,100.0,12.690162952890445,0.01148511640077762,-0.019148971455832917,0.01982687193554536
cub200,m9_contractive,U2,8,0.7,10,2,64,100.0,12.690162952890445,0.009377291451402113,-0.018864821351058762,0.028233134538474702
cub200,m9_contractive,U2,inf,1.0,10,0,768,1.0,10.46919772857376,0.8435303813203721,-0.06888213493322967,0.9028603551404053
cub200,m9_contractive,U2,inf,1.0,10,1,768,1.0,10.46919772857376,0.8518574464877633,-0.057185702328220116,0.9032016213121865
cub200,m9_contractive,U2,inf,1.0,10,2,768,1.0,10.46919772857376,0.8473260414035286,-0.0766714629468092,0.9013901131856734
cub200,m9_contractive,U2,inf,0.9,10,0,768,1.0,10.46919772857376,0.7520834795689753,-0.2068438523250747,0.876574404586648
cub200,m9_contractive,U2,inf,0.9,10,1,768,1.0,10.46919772857376,0.7634920094051628,-0.19934401429394744,0.868631692219463
cub200,m9_contractive,U2,inf,0.9,10,2,768,1.0,10.46919772857376,0.7587108334369674,-0.2135295344346001,0.8705939869586506
cub200,m9_contractive,U2,inf,0.7,10,0,768,1.0,10.46919772857376,0.4695648847867022,-0.5392524857048214,0.7365515444238413
cub200,m9_contractive,U2,inf,0.7,10,1,768,1.0,10.46919772857376,0.47545085119892516,-0.5408917332839306,0.7243904808634483
cub200,m9_contractive,U2,inf,0.7,10,2,768,1.0,10.46919772857376,0.4800373597666964,-0.5460520513420153,0.7324778268028014
cub200,m0_fedavg,n/a,inf,n/a,10,0,n/a,n/a,n/a,0.41049164641023017,-0.47236522377314,0.5392772463453557
cub200,m8_analytic,n/a,inf,n/a,10,0,n/a,n/a,n/a,0.8714578113541848,-0.04457429132348409,0.9165894458253078
cub200,m0_fedavg,n/a,inf,n/a,10,1,n/a,n/a,n/a,0.4314684539919539,-0.5043493063574167,0.5901631536241203
cub200,m8_analytic,n/a,inf,n/a,10,1,n/a,n/a,n/a,0.8712935092728316,-0.045733657945309626,0.9076152278970071
cub200,m0_fedavg,n/a,inf,n/a,10,2,n/a,n/a,n/a,0.31673127541144375,-0.5993073788458523,0.556859783122434
cub200,m8_analytic,n/a,inf,n/a,10,2,n/a,n/a,n/a,0.8714234238577306,-0.05419905671842597,0.9133914430162662
