method,ledger_hash,unit,sigma,delta,T,eps,regime,task_disjoint,violations
M1,3ce1171ba4b216e0,U5,2.0,1e-05,1000,39026.292546497025,"sequential-composition (U5, 300 touches/task)",False,V2/V3;V5b
M2,2cda0a5015b96020,U1,2.0,1e-05,1,79.0567184739702,"sequential-composition (U1, 300 touches/task)",False,V2/V3;V5b
M2,2cda0a5015b96020,U1,2.0,1e-05,5,280.53591202050796,"sequential-composition (U1, 300 touches/task)",False,V2/V3;V5b
M2,2cda0a5015b96020,U1,2.0,1e-05,10,506.88462719901037,"sequential-composition (U1, 300 touches/task)",False,V2/V3;V5b
M2,2cda0a5015b96020,U1,2.0,1e-05,50,2177.88524466053,"sequential-composition (U1, 300 touches/task)",False,V2/V3;V5b
M2,2cda0a5015b96020,U1,2.0,1e-05,100,4165.568215091068,"sequential-composition (U1, 300 touches/task)",False,V2/V3;V5b
M2,2cda0a5015b96020,U1,2.0,1e-05,500,19993.206406045843,"sequential-composition (U1, 300 touches/task)",False,V2/V3;V5b
M2,2cda0a5015b96020,U1,2.0,1e-05,1000,39026.292546497025,"sequential-composition (U1, 300 touches/task)",False,V2/V3;V5b
M2,2cda0a5015b96020,U2,2.0,1e-05,1,79.0567184739702,"sequential-composition (U2, 300 touches/task)",False,V2/V3;V5b
M2,2cda0a5015b96020,U2,2.0,1e-05,5,280.53591202050796,"sequential-composition (U2, 300 touches/task)",False,V2/V3;V5b
M2,2cda0a5015b96020,U2,2.0,1e-05,10,506.88462719901037,"sequential-composition (U2, 300 touches/task)",False,V2/V3;V5b
M2,2cda0a5015b96020,U2,2.0,1e-05,50,2177.88524466053,"sequential-composition (U2, 300 touches/task)",False,V2/V3;V5b
M2,2cda0a5015b96020,U2,2.0,1e-05,100,4165.568215091068,"sequential-composition (U2, 300 touches/task)",False,V2/V3;V5b
M2,2cda0a5015b96020,U2,2.0,1e-05,500,19993.206406045843,"sequential-composition (U2, 300 touches/task)",False,V2/V3;V5b
