method,dataset,n_tasks,ledger_hash,unit,window_W,sigma,delta,T,m_T,m_T_passes,eps,regime,observed
M8,cifar100,10,f7b59727f91af13f,U3,3,2.0,1e-05,324,3.0,nan,4.530670910207755,contractive,0
M8,cifar100,10,f7b59727f91af13f,U3,3,2.0,1e-05,391,3.0,nan,4.530670910207755,contractive,0
M8,cifar100,10,f7b59727f91af13f,U3,3,2.0,1e-05,472,3.0,nan,4.530670910207755,contractive,0
M8,cifar100,10,f7b59727f91af13f,U3,3,2.0,1e-05,569,3.0,nan,4.530670910207755,contractive,0
M8,cifar100,10,f7b59727f91af13f,U3,3,2.0,1e-05,687,3.0,nan,4.530670910207755,contractive,0
M8,cifar100,10,f7b59727f91af13f,U3,3,2.0,1e-05,829,3.0,nan,4.530670910207755,contractive,0
M8,cifar100,10,f7b59727f91af13f,U3,3,2.0,1e-05,1000,3.0,nan,4.530670910207755,contractive,0
M8,cifar100,10,f7b59727f91af13f,U4,3,2.0,1e-05,1,1.0,1.0,2.5292139405522476,accumulating,1
M8,cifar100,10,f7b59727f91af13f,U4,3,2.0,1e-05,2,2.0,2.0,3.6430702143557943,accumulating,1
M8,cifar100,10,f7b59727f91af13f,U4,3,2.0,1e-05,3,3.0,3.0,4.530670910207755,accumulating,1
M8,cifar100,10,f7b59727f91af13f,U4,3,2.0,1e-05,4,4.0,4.0,5.298525913621841,accumulating,1
M8,cifar100,10,f7b59727f91af13f,U4,3,2.0,1e-05,5,5.0,5.0,5.989928952612497,accumulating,1
M8,cifar100,10,f7b59727f91af13f,U4,3,2.0,1e-05,6,6.0,6.0,6.627064838413654,accumulating,1
M8,cifar100,10,f7b59727f91af13f,U4,3,2.0,1e-05,7,7.0,7.0,7.2228557001495926,accumulating,1
M8,cifar100,10,f7b59727f91af13f,U4,3,2.0,1e-05,8,8.0,8.0,7.786148140875069,accumulating,1
M8,cifar100,10,f7b59727f91af13f,U4,3,2.0,1e-05,9,9.0,9.0,8.32290815088033,accumulating,1
