dataset,method,family,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows,view,identical_by_construction
cifar100,m1_glfc,F1,2,0.5829575324480906,0.5755707610038033,0.5905012259364641,0.04014539053331595,0.03297053588395405,0.04666080451697705,0.01109988264441257,0.008259865151530241,0.014263708460169036,3,"n/a (per-seed, see a1_lira_pertask_*)",global,True
cifar100,m1_glfc,F1,3,0.5916818690461126,0.5838315990355313,0.5999129175155082,0.044627721997652886,0.036482000782549054,0.05275170648559963,0.01538662146303299,0.011402918595369873,0.018946714244859286,3,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m1_glfc,F1,3,0.5916818690461126,0.5838315990355313,0.5999129175155082,0.044627721997652886,0.036482000782549054,0.05275170648559963,0.01538662146303299,0.011402918595369873,0.018946714244859286,3,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,True
cifar100,m1_glfc,F1,3,0.5916818690461126,0.5838315990355313,0.5999129175155082,0.044627721997652886,0.036482000782549054,0.05275170648559963,0.01538662146303299,0.011402918595369873,0.018946714244859286,3,"n/a (per-seed, see a1_lira_pertask_*)",global,True
cifar100,m1_glfc,F1,4,0.5985700234193385,0.5903367095006791,0.6070263646841553,0.04912635284913287,0.040274732260417785,0.057941129949374365,0.01814121789020733,0.01373783851209418,0.022492487821503933,3,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m1_glfc,F1,4,0.5985700234193385,0.5903367095006791,0.6070263646841553,0.04912635284913287,0.040274732260417785,0.057941129949374365,0.01814121789020733,0.01373783851209418,0.022492487821503933,3,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,True
cifar100,m1_glfc,F1,4,0.5985700234193385,0.5903367095006791,0.6070263646841553,0.04912635284913287,0.040274732260417785,0.057941129949374365,0.01814121789020733,0.01373783851209418,0.022492487821503933,3,"n/a (per-seed, see a1_lira_pertask_*)",global,True
cifar100,m1_glfc,F1,5,0.6040694981924221,0.5955985526470371,0.6132042538781993,0.051652757856304604,0.04322974088768114,0.06158373159145419,0.020309036380232102,0.01594468208199391,0.025571404444512516,3,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m1_glfc,F1,5,0.6040694981924221,0.5955985526470371,0.6132042538781993,0.051652757856304604,0.04322974088768114,0.06158373159145419,0.020309036380232102,0.01594468208199391,0.025571404444512516,3,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,True
cifar100,m1_glfc,F1,5,0.6040694981924221,0.5955985526470371,0.6132042538781993,0.051652757856304604,0.04322974088768114,0.06158373159145419,0.020309036380232102,0.01594468208199391,0.025571404444512516,3,"n/a (per-seed, see a1_lira_pertask_*)",global,True
cifar100,m1_glfc,F1,6,0.6084837319658047,0.5999774891241406,0.6177587109004384,0.05509192854348677,0.0466078942814845,0.06464859817073632,0.023128830355978614,0.017857104745938913,0.028778808514148976,3,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m1_glfc,F1,6,0.6084837319658047,0.5999774891241406,0.6177587109004384,0.05509192854348677,0.0466078942814845,0.06464859817073632,0.023128830355978614,0.017857104745938913,0.028778808514148976,3,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,True
cifar100,m1_glfc,F1,6,0.6084837319658047,0.5999774891241406,0.6177587109004384,0.05509192854348677,0.0466078942814845,0.06464859817073632,0.023128830355978614,0.017857104745938913,0.028778808514148976,3,"n/a (per-seed, see a1_lira_pertask_*)",global,True
cifar100,m2_target,F1,0,0.5749784663890651,0.5680140779965703,0.5823829260551957,0.03169317240371026,0.026555046104682622,0.03766651048324312,0.007813642196916779,0.004631072170327602,0.012630954123036964,3,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m2_target,F1,0,0.5749784663890651,0.5680140779965703,0.5823829260551957,0.03169317240371026,0.026555046104682622,0.03766651048324312,0.007813642196916779,0.004631072170327602,0.012630954123036964,3,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,True
