dataset,method,unit,eps,gamma,n_clients,seed,p,lambda,clip_C,final_avg_acc,bwt,avg_incremental_acc
imagenet_r,m9_contractive,U2,2,1.0,10,2,128,0.01,11.849688826333526,0.005285448843503203,-0.00842300024929956,0.012564428561568974
imagenet_r,m9_contractive,U2,2,0.9,10,0,128,0.01,11.849688826333526,0.004357054302550653,-0.0136973473832809,0.015883038648367896
imagenet_r,m9_contractive,U2,2,0.9,10,1,128,0.01,11.849688826333526,0.005774506798467643,-0.014596951703083885,0.0136674296334408
imagenet_r,m9_contractive,U2,2,0.9,10,2,128,0.01,11.849688826333526,0.003950818331250736,-0.01060297988182163,0.012278747964949124
imagenet_r,m9_contractive,U2,2,0.7,10,0,128,0.01,11.849688826333526,0.004886632388408542,-0.01625560655621746,0.0166615105356089
imagenet_r,m9_contractive,U2,2,0.7,10,1,128,0.01,11.849688826333526,0.006568504890448463,-0.007767376736544467,0.012690218850215776
imagenet_r,m9_contractive,U2,2,0.7,10,2,128,0.01,11.849688826333526,0.0036015375156077493,-0.01332109690832583,0.013590931724983666
imagenet_r,m9_contractive,U2,4,1.0,10,0,128,1.0,11.849688826333526,0.007567111001310012,-0.014309338724547323,0.01880236716916118
imagenet_r,m9_contractive,U2,4,1.0,10,1,128,1.0,11.849688826333526,0.005478106408645365,-0.01641096309693232,0.015113698063070991
imagenet_r,m9_contractive,U2,4,1.0,10,2,128,1.0,11.849688826333526,0.004577831995678581,-0.012551540233395556,0.014322931272721075
imagenet_r,m9_contractive,U2,4,0.9,10,0,128,1.0,11.849688826333526,0.006265834421513672,-0.013537689283650615,0.018336434048324933
imagenet_r,m9_contractive,U2,4,0.9,10,1,128,1.0,11.849688826333526,0.004403843127334719,-0.013714375414925283,0.013901639040513373
imagenet_r,m9_contractive,U2,4,0.9,10,2,128,1.0,11.849688826333526,0.004919036686065521,-0.01142662816158427,0.014328012448524627
imagenet_r,m9_contractive,U2,4,0.7,10,0,128,1.0,11.849688826333526,0.003572737930169813,-0.022212461431967357,0.019087512917016054
imagenet_r,m9_contractive,U2,4,0.7,10,1,128,1.0,11.849688826333526,0.00713409542639473,-0.0103772932483344,0.014345792636497583
imagenet_r,m9_contractive,U2,4,0.7,10,2,128,1.0,11.849688826333526,0.004649027593238824,-0.017025927737201116,0.01561817765721631
imagenet_r,m9_contractive,U2,8,1.0,10,0,128,100.0,11.849688826333526,0.005640695651332827,-0.019550094347945808,0.025538560903826724
imagenet_r,m9_contractive,U2,8,1.0,10,1,128,100.0,11.849688826333526,0.007588718136440117,-0.024652696577513237,0.02495013341064476
imagenet_r,m9_contractive,U2,8,1.0,10,2,128,100.0,11.849688826333526,0.006172235131300068,-0.016034835268369147,0.01841473908369438
imagenet_r,m9_contractive,U2,8,0.9,10,0,128,100.0,11.849688826333526,0.003356822109129386,-0.022134737606395637,0.02495415898551628
imagenet_r,m9_contractive,U2,8,0.9,10,1,128,100.0,11.849688826333526,0.009875586672321683,-0.02156098058736102,0.025032010904215096
imagenet_r,m9_contractive,U2,8,0.9,10,2,128,100.0,11.849688826333526,0.004889192184971568,-0.017519276443478934,0.017523451620129794
imagenet_r,m9_contractive,U2,8,0.7,10,0,128,100.0,11.849688826333526,0.0023855927881556915,-0.029559423860181993,0.024784828144696368
imagenet_r,m9_contractive,U2,8,0.7,10,1,128,100.0,11.849688826333526,0.01123668699531245,-0.02722360515570148,0.024407978322301106
