dataset,method,family,view,quantity,ablation,halflife,halflife_int,status,ci_lo,ci_hi,horizon_E,base_value,base_ci_lo,floor,halflife_expfit,r2
cifar100,m8_analytic,F5,global,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.9986535903794697,0.9981139273505126,0.5,,
cifar100,m8_analytic,F5,global,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.9660258184245226,0.954716685994908,0.01,,
cifar100,m8_analytic,F5,global,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.9986535903794697,0.9981139273505126,0.5,,
cub200,m0_fedavg,F1,full,leak_tpr1,trajectory,1.0815769845498135,2,ok,0.8828718541713326,1.958086953662842,6,0.05790390074035057,0.05350481802675816,0.01,,
cub200,m0_fedavg,F1,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.6570406826594243,0.6505647918173428,0.5,,
cub200,m0_fedavg,F1,full,leak_tpr1,last_round,0.7428618968386023,1,ok,0.6877338003733299,0.8315376463570844,6,0.05790390074035057,0.05350481802675816,0.01,,
cub200,m0_fedavg,F1,full,leak_auc,last_round,0.9426934028188642,1,ok,0.8702563854702122,1.4038736031196277,6,0.6570406826594243,0.6505647918173428,0.5,,
cub200,m1_glfc,F1,full,leak_tpr1,trajectory,4.471076923076924,5,ok,1.804232364848774,6.0,6,0.03370420977291951,0.026466750387620638,0.01,,
cub200,m1_glfc,F1,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.5910629491578449,0.5815008452824908,0.5,,
cub200,m1_glfc,F1,full,leak_tpr1,last_round,1.3984489795918376,2,ok,0.8142084435626101,6.0,6,0.03370420977291951,0.026466750387620638,0.01,,
cub200,m1_glfc,F1,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.5910629491578449,0.5815008452824908,0.5,,
cub200,m2_target,F1,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.05031917665450756,0.04110862915932795,0.01,,
cub200,m2_target,F1,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.6376725008288842,0.6270622419003357,0.5,,
cub200,m2_target,F1,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.05031917665450756,0.04110862915932795,0.01,,
cub200,m2_target,F1,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.6376725008288842,0.6270622419003357,0.5,,
cub200,m3_fot,F1,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.06224797975675455,0.05238707617749178,0.01,,
cub200,m3_fot,F1,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.680472826328614,0.6649295228680601,0.5,,
cub200,m3_fot,F1,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.06224797975675455,0.05238707617749178,0.01,,
cub200,m3_fot,F1,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.680472826328614,0.6649295228680601,0.5,,
cub200,m4_proto,F2,aggregate,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.832434802377318,0.8077790707525885,0.01,,
cub200,m4_proto,F2,aggregate,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.9889042541852615,0.9864477076490578,0.5,,
cub200,m4_proto,F2,aggregate,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.832434802377318,0.8077790707525885,0.01,,
cub200,m4_proto,F2,aggregate,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.9889042541852615,0.9864477076490578,0.5,,
cub200,m4_proto,F2,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.9958678431584835,0.9931401330822065,0.01,,
cub200,m4_proto,F2,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.9995468107509874,0.9993251650138342,0.5,,
cub200,m4_proto,F2,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.9958678431584835,0.9931401330822065,0.01,,
cub200,m4_proto,F2,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.9995468107509874,0.9993251650138342,0.5,,
cub200,m4_proto,F2,global,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.15733719530055001,0.13308439644109382,0.01,,
cub200,m4_proto,F2,global,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.6224774746942525,0.6019408038909592,0.5,,
cub200,m4_proto,F2,global,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.15733719530055001,0.13308439644109382,0.01,,
cub200,m4_proto,F2,global,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.6224774746942525,0.6019408038909592,0.5,,
